Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,0,0,0,0
2,0,0,0,0
3,-1,-1,-1,-1
4,6,5,0,3.584
5,19,1561,0,11.632
6,10,1967,0,6.72
7,10,1946,0,6.72
8,10,1943,0,6.72
9,10,1960,0,6.72
10,10,1942,0,6.72
11,9,1942,0,6.048
12,10,1942,0,6.72
13,10,1946,0,6.72
14,10,1956,0,6.72
15,10,1960,0,6.72
16,10,1964,0,6.72
17,10,1951,0,6.72
18,10,1976,0,6.72
19,10,1966,0,6.72
20,10,1962,0,6.72
21,10,1978,0,6.72
22,10,1970,0,6.72
23,10,1966,0,6.72
24,10,1967,0,6.72
25,10,1968,0,6.72
26,10,1977,0,6.72
27,10,1951,0,6.72
28,9,1972,0,6.048
29,10,1964,0,6.72
30,10,1956,0,6.72
31,10,1960,0,6.72
32,10,1965,0,6.72
33,10,1957,0,6.72
34,10,1969,0,6.72
35,10,1957,0,6.72
36,10,1961,0,6.72
37,10,1955,0,6.72
38,10,1941,0,6.72
39,10,1960,0,6.72
40,11,1951,0,6.944
41,10,1954,0,6.72
42,10,1955,0,6.72
43,10,1943,0,6.72
44,10,1947,0,6.72
45,9,1940,0,6.048
46,10,1959,0,6.72
47,10,1958,0,6.72
48,10,1957,0,6.72
49,10,1966,0,6.72
50,10,1967,0,6.72
51,10,1962,0,6.72
52,10,1954,0,6.72
53,10,1973,0,6.72
54,10,1977,0,6.72
55,10,1958,0,6.72
56,10,1967,0,6.72
57,10,1960,0,6.72
58,10,1969,0,6.72
59,10,1968,0,6.72
60,10,1969,0,6.72
61,10,1970,0,6.72
62,9,1961,0,6.048
63,10,1960,0,6.72
64,10,1965,0,6.72
65,10,1966,0,6.72
66,10,1967,0,6.72
67,10,1952,0,6.72
68,10,1970,0,6.72
69,10,1977,0,6.72
70,10,1963,0,6.72
71,10,1960,0,6.72
72,10,1964,0,6.72
73,10,1954,0,6.72
74,10,1965,0,6.72
75,10,1961,0,6.72
76,11,1955,0,6.944
77,10,1964,0,6.72
78,10,1964,0,6.72
79,9,1964,0,6.048
80,10,1965,0,6.72
81,10,1969,0,6.72
82,10,1965,0,6.72
83,10,1952,0,6.72
84,10,1973,0,6.72
85,10,1964,0,6.72
86,10,1966,0,6.72
87,10,1953,0,6.72
88,10,1956,0,6.72
89,10,1963,0,6.72
90,10,1960,0,6.72
91,10,1950,0,6.72
92,10,1983,0,6.72
93,10,1947,0,6.72
94,10,1953,0,6.72
95,9,1949,0,6.048
96,10,1959,0,6.72
97,10,1938,0,6.72
98,10,1960,0,6.72
99,10,1951,0,6.72
100,10,1964,0,6.72
101,10,1959,0,6.72
102,10,1967,0,6.72
103,11,1954,0,6.944
104,10,1960,0,6.72
105,10,1938,0,6.72
106,10,1956,0,6.72
107,10,1944,0,6.72
108,10,1955,0,6.72
109,10,1951,0,6.72
110,10,1958,0,6.72
111,10,1956,0,6.72
112,9,1957,0,6.048
113,10,1957,0,6.72
114,10,1961,0,6.72
115,10,1952,0,6.72
116,10,1948,0,6.72
117,10,1945,0,6.72
118,10,1948,0,6.72
119,10,1950,0,6.72
120,10,1950,0,6.72
121,10,1951,0,6.72
122,10,1951,0,6.72
123,10,1951,0,6.72
124,10,1955,0,6.72
125,10,1948,0,6.72
126,10,1955,0,6.72
127,10,1950,0,6.72
128,9,1957,0,6.048
129,11,1952,0,6.944
130,10,1963,0,6.72
131,10,1954,0,6.72
132,10,1948,0,6.72
133,10,1952,0,6.72
134,10,1952,0,6.72
135,10,1963,0,6.72
136,10,1951,0,6.72
137,10,1972,0,6.72
138,10,1961,0,6.72
139,10,1959,0,6.72
140,10,1959,0,6.72
141,10,1968,0,6.72
142,10,1952,0,6.72
143,10,1957,0,6.72
144,10,1974,0,6.72
145,9,1972,0,6.048
146,10,1963,0,6.72
147,10,1967,0,6.72
148,10,1964,0,6.72
149,10,1966,0,6.72
150,10,1970,0,6.72
151,10,1967,0,6.72
152,10,1964,0,6.72
153,10,1966,0,6.72
154,10,1961,0,6.72
155,11,1972,0,6.944
156,10,1967,0,6.72
157,10,1971,0,6.72
158,10,1985,0,6.72
159,10,1961,0,6.72
160,10,1979,0,6.72
161,9,1965,0,6.048
162,10,1959,0,6.72
163,10,1962,0,6.72
164,10,1968,0,6.72
165,10,1968,0,6.72
166,10,1977,0,6.72
167,10,1978,0,6.72
168,10,1963,0,6.72
169,10,1974,0,6.72
170,10,1956,0,6.72
171,10,1965,0,6.72
172,10,1973,0,6.72
173,10,1971,0,6.72
174,10,1978,0,6.72
175,10,1977,0,6.72
176,10,1974,0,6.72
177,9,1970,0,6.048
178,10,1972,0,6.72
179,10,1971,0,6.72
180,10,1972,0,6.72
181,11,1968,0,6.944
182,10,1964,0,6.72
183,10,1960,0,6.72
184,10,1965,0,6.72
185,10,1963,0,6.72
186,10,1966,0,6.72
187,10,1960,0,6.72
188,10,1966,0,6.72
189,10,1967,0,6.72
190,10,1968,0,6.72
191,10,1964,0,6.72
192,10,1966,0,6.72
193,10,1966,0,6.72
194,9,1961,0,6.048
195,10,1973,0,6.72
196,10,1956,0,6.72
197,10,1975,0,6.72
198,10,1943,0,6.72
199,10,1964,0,6.72
200,10,1970,0,6.72
201,10,1963,0,6.72
202,10,1964,0,6.72
203,10,1960,0,6.72
204,10,1968,0,6.72
